Aesop	Q43423	-0620	Q6581097
Apuleius	Q170512	0125	Q6581097
Lucian	Q177847	0120	Q6581097
Pliny the Younger	Q168707	0061	Q6581097
Vishnu Sharma	Q2743748		Q6581097
Bāṇabhaṭṭa	Q171202	0585	Q6581097
Borzuya	Q1017211	0500	Q6581097
Daṇḍin	Q1190757	0501	Q6581097
Han Yu	Q318998	0768	Q6581097
Ibn al-Muqaffa'	Q1060637	0724	Q6581097
Liu Zongyuan	Q337773	0773	Q6581097
Luo Guanzhong	Q264517	1334	Q6581097
Murasaki Shikibu	Q81731	0973	Q6581072
Ouyang Xiu	Q334323	1007	Q6581097
Sei Shōnagon	Q231603	0966	Q6581072
Shi Nai'an	Q1777502	1296	Q6581097
Su Shi	Q36020	1037	Q6581097
Giovanni Boccaccio	Q1402	1313	Q6581097
Pêro Vaz de Caminha	Q1361936	1450	Q6581097
Christine de Pizan	Q234816		Q6581072
Ibn Tufayl	Q251259	1110	Q6581097
Julian of Norwich	Q236699	1342	Q6581072
Margery Kempe	Q509271	1373	Q6581072
Thomas Malory	Q309907	1405	Q6581097
Charles Brockden Brown	Q468280	1771	Q6581097
William Hill Brown	Q321731	1765	Q6581097
J. Hector St. John de Crèvecœur	Q1493812	1735	Q6581097
Juana Inés de la Cruz	Q183074	1651	Q6581072
Mary Rowlandson	Q271905	1635	Q6581072
Asai Ryōi	Q2866305	1612	Q6581097
Cao Xueqin	Q182874	1724	Q6581097
Ueda Akinari	Q714175	1734	Q6581097
Wu Cheng'en	Q228889	1500	Q6581097
Xu Zhonglin (novelist)	Q3052283	1550	Q6581097
Madame d'Aulnoy	Q260006	1652	Q6581072
Luc de Clapiers, marquis de Vauvenargues	Q551730	1715	Q6581097
Antoine Galland	Q319399	1646	Q6581097
Madame de La Fayette	Q237090	1634	Q6581072
Jean de La Fontaine	Q49496	1621	Q6581097
François de La Rochefoucauld (writer)	Q273708	1613	Q6581097
Pierre Choderlos de Laclos	Q212476	1741	Q6581097
Jean-Baptiste Louvet de Couvray	Q1362457	1760	Q6581097
Michel de Montaigne	Q41568	1533	Q6581097
Charles Perrault	Q128460	1628	Q6581097
Abbé Prévost	Q311480	1697	Q6581097
François Rabelais	Q131018	1494	Q6581097
Nicolas Restif de la Bretonne	Q732729	1734	Q6581097
Antoine de Rivarol	Q203952	1753	Q6581097
Louis de Rouvroy, duc de Saint-Simon	Q463728	1675	Q6581097
Marquis de Sade	Q123867	1740	Q6581097
Germaine de Staël	Q123041	1766	Q6581072
Honoré d'Urfé	Q358491	1568	Q6581097
Voltaire	Q9068	1694	Q6581097
William Bolts	Q5581330	1738	Q6581097
James Boswell	Q335060	1740	Q6581097
Thomas Browne	Q313925	1605	Q6581097
John Bunyan	Q108206	1628	Q6581097
John Cleland	Q460861	1709	Q6581097
Charles Cotton	Q2958807	1630	Q6581097
Daniel Defoe	Q40946	1660	Q6581097
Henry Fielding	Q34190	1707	Q6581097
Oliver Goldsmith	Q236236	1728	Q6581097
Captain Charles Johnson	Q1065092		Q6581097
Samuel Johnson	Q183266	1709	Q6581097
Walter Savage Landor	Q645138	1775	Q6581097
Lady Mary Wortley Montagu	Q235121	1689	Q6581072
Thomas More	Q42544	1478	Q6581097
Thomas Nashe	Q443042	1567	Q6581097
Ann Radcliffe	Q231944	1764	Q6581072
Samuel Richardson	Q295941	1689	Q6581097
Philip Stanhope, 4th Earl of Chesterfield	Q332487	1694	Q6581097
Laurence Sterne	Q218960	1713	Q6581097
Jonathan Swift	Q41166	1667	Q6581097
Horace Walpole	Q309903	1717	Q6581097
José Cadalso	Q919098	1741	Q6581097
Giacomo Casanova	Q83321	1725	Q6581097
Baldassare Castiglione	Q211133	1478	Q6581097
Miguel de Cervantes	Q5682	1547	Q6581097
Johann Peter Hebel	Q62512	1760	Q6581097
Ivan Krylov	Q191480	1769	Q6581097
Johannes Pfefferkorn	Q66486	1469	Q6581097
Alexander Radishchev	Q217470	1749	Q6581097
Watkin Tench	Q3566721	1758	Q6581097
Muhammed Said Abdulla	Q6932972	1918	Q6581097
Chinua Achebe	Q155845	1930	Q6581097
Chimamanda Ngozi Adichie	Q230141	1977	Q6581072
Zamenga Batukezanga	Q3574719	1933	Q6581097
J. E. Casely Hayford	Q327522	1866	Q6581097
Mohamed Choukri	Q335436	1935	Q6581097
J. M. Coetzee	Q43293	1940	Q6581097
Buchi Emecheta	Q461675	1944	Q6581072
Nuruddin Farah	Q323344	1945	Q6581097
Nadine Gordimer	Q47619	1923	Q6581072
Abdulrazak Gurnah	Q317877	1948	Q6581097
Taha Hussein	Q328765	1889	Q6581097
Kojo Laing	Q1778896	1946	Q6581097
Paul Lomami-Tshibamba	Q7152065	1914	Q6581097
Naguib Mahfouz	Q7176	1911	Q6581097
Dambudzo Marechera	Q727484	1952	Q6581097
Léonora Miano	Q465373	1973	Q6581072
Ahlam Mosteghanemi	Q1772341	1959	Q6581072
Ben Okri	Q315362	1959	Q6581097
Alan Paton	Q361623	1903	Q6581097
Tayeb Salih	Q561434	1929	Q6581097
Wilbur Smith	Q357970	1933	Q6581097
Sony Lab'ou Tansi	Q983273	1947	Q6581097
Ngũgĩ wa Thiong'o	Q302910	1938	Q6581097
Kateb Yacine	Q379962	1929	Q6581097
Patrick Chamoiseau	Q470515	1953	Q6581097
Maryse Condé	Q464371	1934	Q6581072
